"Entry","Name","Origin","Region","SeedMass1000.2018","SeedMass1000.2017","SeedMass1000.2016"
175,"PI 298357 LSP AGL","Egypt","Africa",30.2062868369352,24.1,26.8
176,"PI 298631 LSP AGL","Peru","Americas",69.7959183673469,63.9,53.1
177,"PI 298644 LSP AGL","Spain","Europe",68.9804772234273,65.2,60.4
178,"PI 298645 AGL","Spain","Europe",55.2370689655172,45.3,42.2
179,"PI 298921 AGL","Italy","Europe",68.6642599277978,55.7,54.7
180,"PI 298922 LSP AGL","Italy","Europe",31.1921965317919,23.5,26.8
181,"PI 298923 LSP AGL","Italy","Europe",65.7244655581948,62.3,58
182,"PI 299116 LSP AGL","Mexico","Americas",30.9385382059801,25.7,27.4
183,"PI 299120 LSP AGL","Mexico","Americas",38.3379501385042,35.3,32.5
184,"PI 299121 LSP AGL","Mexico","Americas",39.0142517814727,31.3,37.3
185,"PI 299126 LSP AGL","Mexico","Americas",36.7256637168142,28,29.7
186,"PI 299163 LSP AGL","Chile","Americas",71.0364683301344,58.7,54.6
187,"PI 299164 LSP AGL","Chile","Americas",63.8049713193117,57.1,56.4
188,"PI 299165 AGL","Chile","Americas",59.8257839721254,53.7,49.6
189,"PI 299177 LSP AGL","Chile","Americas",60.9911894273128,57.2,48.9
190,"PI 299237 LSP AGL","Chile","Americas",46.40625,41.1,40.4
191,"PI 299289 AGL","Chile","Americas",45.8656036446469,35.6,32.6
192,"PI 299312 AGL","Chile","Americas",69.718574108818,65.8,57
193,"PI 299345 AGL","Chile","Americas",64.4856661045531,59.6,52.9
194,"PI 299351 LSP AGL","Chile","Americas",34.7083333333333,25.6,30.9
195,"PI 299366 LSP AGL","Chile","Americas",61.9646017699115,56.4,45.1
196,"PI 299375 LSP AGL","Chile","Americas",66.5055762081784,66.5,64.2
197,"PI 300250 LSP AGL","Syria","Asia",37.9270833333333,30.7,28.8
198,"PI 302398 LSP AGL","Jordan","Asia",62.8275862068965,49.4,53.7
199,"PI 308614 LSP AGL","Syria","Asia",38.6571879936809,33.9,34.5
200,"PI 311107 LSP AGL","Guatemala","Americas",55.6507936507937,38.9,35.4
201,"PI 312175 LSP AGL","Mexico","Americas",33.6285097192225,28,27
202,"PI 320935 LSP AGL","Iran","Asia",36.8652037617555,32.1,34.9
203,"PI 320936 LSP AGL","Russia","Europe",30.9012875536481,24.9,26.4
204,"PI 320937 LSP AGL","Germany","Europe",28.343253968254,18.5,21.5
205,"CN 105866 AGL","Tunisia","Africa",62.2551928783383,53,46.9
206,"PI 320941 LSP AGL","Ethiopia","Africa",31.5005138746146,26.3,27.6
207,"PI 320945 LSP AGL","Bulgaria","Europe",42.4720068906115,31.7,36
208,"PI 320946 LSP AGL","Israel","Asia",44.1301627033792,42.7,37.8
209,"PI 320952 LSP AGL","Czech Republic","Europe",24.7619047619048,17,19.1
210,"PI 320953 LSP AGL","Germany","Europe",25.5451263537906,20.5,19.8
211,"PI 320954 LSP AGL","Hungary","Europe",40.3921568627451,32.2,29.2
212,"PI 329157 LSP AGL","Iran","Asia",51.6904276985743,43,29.6
213,"PI 329167 LSP AGL","Iran","Asia",63.8031319910515,62.7,49.1
214,"PI 339266 LSP AGL","Turkey","Asia",65.0735294117647,60,54.5
215,"PI 339283 LSP AGL","Turkey","Asia",42.5602027883397,31,35.8
216,"PI 339285 AGL","Turkey","Asia",39.3333333333333,29.6,31
