"Name","Ro17_gc.a.at.DTF","Ro17_gc.a.at.DTM","Ro17_gc.a.perc.DTF","Ro17_gc.a.xmax.DTF","Ro17_gc.a.xmax.DTM","Ro17_gc.a.xmid.DTF","Ro17_gc.a.xmid.DTM","Ro17_gc.h.at.DTF","Ro17_gc.h.at.DTM","Ro17_gc.h.perc.DTF","Ro17_gc.h.xmax.DTF","Ro17_gc.h.xmax.DTM","Ro17_gc.h.xmid.DTF","Ro17_gc.h.xmid.DTM","Ro17_gc.v.at.DTF","Ro17_gc.v.at.DTM","Ro17_gc.v.perc.DTF","Ro17_gc.v.xmax.DTF","Ro17_gc.v.xmax.DTM","Ro17_gc.v.xmid.DTF","Ro17_gc.v.xmid.DTM"
"PI_299121_LSP_AGL",0.424022328780885,0.905922484431944,45.8757288336544,11.3333333333333,-26.3333333333333,1.0390745752864,-36.6275920913803,0.14679088137056,0.189832992414706,77.3262955718277,11,-26.6666666666667,-7.4457635808633,-45.11243024753,0.071860729405602,0.171607502734392,41.15369908157,15.6666666666667,-22,2.29342375540203,-35.3732429112646
"PI_299126_LSP_AGL",0.323364785644501,1.08242800928185,30.5573948987914,21,-18.3333333333333,4.38930655471773,-34.9440267786156,0.120620054543869,0.16498115687639,75.0484616999205,11.3333333333333,-28,-6.2634643123208,-45.5967976456541,0.0273121207852032,0.170634313382686,17.3001559817797,15.3333333333333,-24,5.10425979078423,-34.2290735425491
"PI_299163_LSP_AGL",0.627921629267158,NA,53.8861075344286,19.6666666666667,NA,-0.386019512942833,NA,0.157582647209948,NA,73.5804848772998,16,NA,-8.21368365887667,NA,0.0921488252628929,NA,36.8064898462218,23.6666666666667,NA,4.11401749878916,NA
"PI_299164_LSP_AGL",0.843751992407974,1.10814200516836,71.1454225236827,8.66666666666667,-30,-3.03364538789277,-39.5036016699361,0.157155723054141,0.167489609769488,92.4785589054194,2.33333333333333,-34,-14.6636499197817,-49.6457284654432,0.136411221084808,0.185751555767791,68.9588505775973,7.66666666666667,-32,-1.68306418773617,-38.8598165835686
"PI_299165_AGL",0.717460740966832,1.08794248181335,60.152282541675,12,-24,-1.7298424458067,-37.3583390986615,0.157973837739488,0.183721621326372,85.8866436539706,8.33333333333333,-27,-12.6146047280739,-47.9995304627928,0.106651265392647,0.200076990979968,48.2425021270056,13,-24,0.606160106109267,-35.3422752894097
"PI_299177_LSP_AGL",0.827240487878003,1.01000713135249,72.8066877155911,8,-33,-3.22586027020507,-40.0731069906414,0.166202395042552,0.21016886790799,78.2718929206388,12.6666666666667,-22,-9.4079076273768,-44.3954240275732,0.143051253013218,0.212486238723152,59.7617490092961,9.66666666666667,-34,-0.495092633470901,-38.9836005975253
"PI_299237_LSP_AGL",0.591200934266169,1.24557826005593,47.3956988715326,16.6666666666667,-16.6666666666667,0.568368420317367,-32.764964913016,0.169245344487391,0.209660260377836,80.5863718686731,11.3333333333333,-22,-9.97398360282893,-43.3073169361623,0.0989091675218643,0.253707659703182,39.1254182921102,13.3333333333333,-20,1.7909791824766,-31.5423541508567
"PI_299289_AGL",0.693105419983449,1.28063000628593,53.1038018099741,22,-11,-0.962342131384266,-34.1592235782692,0.173837073779072,0.239318283072783,75.8468324876226,14,-17,-8.6562472068307,-42.447385722882,0.116256631676541,0.30888783525069,40.9767527426708,18.6666666666667,-11,2.21723282580627,-29.5878740305953
"PI_299312_AGL",0.897682933236947,NA,74.1230785440803,10,NA,-4.1948705259428,NA,0.169807196707921,NA,76.8067488492847,16,NA,-10.4016626016547,NA,0.135313313304832,NA,49.8529417912909,15.3333333333333,NA,0.533107647361466,NA
"PI_299345_AGL",0.783337114745166,1.33376304377546,61.8334124018372,14.6666666666667,-22,-1.99136136818833,-37.4703761590954,0.173954519048221,0.227676306790473,76.214926920741,14,-22,-8.97913147104357,-44.3169557618692,0.140041498268779,0.290306920996677,50.0773797694302,12.6666666666667,-25,0.463442433064034,-35.5977029856185
"PI_299351_LSP_AGL",0.607119301862514,1.00520778915421,61.6716040320024,11.3333333333333,-23.3333333333333,-1.634256160168,-36.3009228268347,0.139623024464059,0.1614825713505,86.6890668973924,7,-27.6666666666667,-12.9379440723484,-47.604610739015,0.0872703390705124,0.161120366303275,57.2246798856983,12,-22.6666666666667,-0.0332311520130659,-34.6998978186797
"PI_299366_LSP_AGL",0.657593398242093,1.72951182252976,49.9533881604302,13.3333333333333,-28,0.162282567100036,-38.008689534159,0.141315750256194,0.20394765340809,67.7781438814982,18.3333333333333,-24,-5.9783413692099,-46.0938578942325,0.0760860407922314,0.379876604309988,26.2672657750004,21.3333333333333,-15,5.4166048637817,-32.6428392123824
