"Name","It17_gc.a.auc.e","It17_gc.a.auc.l","It17_gc.a.b","It17_gc.a.g.b","It17_gc.a.g.r","It17_gc.a.k","It17_gc.a.r","It17_gc.a.x.d","It17_gc.a.x.gen","It17_gc.a.x.max","It17_gc.a.x.mid","It17_gc.a.x.min","It17_gc.h.auc.e","It17_gc.h.auc.l","It17_gc.h.b","It17_gc.h.g.b","It17_gc.h.g.r","It17_gc.h.k","It17_gc.h.r","It17_gc.h.x.d","It17_gc.h.x.gen","It17_gc.h.x.max","It17_gc.h.x.mid","It17_gc.h.x.min","It17_gc.v.auc.e","It17_gc.v.auc.l","It17_gc.v.b","It17_gc.v.g.b","It17_gc.v.g.r","It17_gc.v.k","It17_gc.v.r","It17_gc.v.x.d","It17_gc.v.x.gen","It17_gc.v.x.max","It17_gc.v.x.mid","It17_gc.v.x.min"
"PI_297285_LSP_AGL",188.15015923844,187.223108124851,-10.7835526464406,-4.53601337525618,0.0495921797005819,1.87866229331369,0.106168749877676,28.3128349626627,6.53813279994202,138.666666666667,110.353831704004,83,29.3094442770878,29.2411999339148,-7.31459662678868,-0.407070218480563,0.0049799312444292,0.296597284862313,0.0669713548724168,44.663384612478,10.3940326504376,156,111.336615387522,67.6666666666667,50.466010243274,49.7308006685617,-30.6069546457452,-3.96558752152975,0.0347899453038261,0.565907159964283,0.252942623584616,12.2085416295397,2.7410305694482,134.333333333333,122.124791703794,111
"PI_297287_AGL",198.448876943412,198.039294688443,-8.93217227948178,-3.81907717790003,0.043832084696727,1.97440005695907,0.0904290378698187,34.2668967987173,7.94229663024321,144,109.733103201283,76.3333333333333,28.5131968950232,28.8563922796052,-7.99194241033165,-0.428630310940827,0.00530174225030339,0.281477411529947,0.0758266401411122,39.3185125993073,9.20648107249713,146.666666666667,107.348154067359,69,48.8811980473123,47.8641621176851,-27.8069151256677,-3.40401894673378,0.0304326847528837,0.535253204010596,0.232730002528831,13.1098959630893,2.99584538863319,133.666666666667,120.556770703577,108.333333333333
"PI_297754_LSP_AGL",175.413737450601,174.967651965092,-10.0392548136586,-4.41322876706429,0.0443469400196201,1.99569392232301,0.0907488145027252,33.058344231435,7.74883686992955,155,121.941655768565,89.3333333333333,25.9687300214668,26.079177437742,-6.98374671216273,-0.339296177384335,0.00423125484368961,0.264498195090522,0.0638779123984947,46.624602793701,10.8772036097183,158,111.375397206299,65.6666666666667,38.8716721359202,38.5483806132032,-28.7937091236093,-2.94948333999185,0.0254759013233491,0.453288255216283,0.23300350307432,13.5058110538067,3.05339360457383,138.333333333333,124.827522279527,112.333333333333
"PI_297767_AGL",195.053878655075,195.081964094916,-7.6795675279546,-3.77932592736597,0.0401349718962014,2.20693615652616,0.0724856876904955,40.8751860674677,9.57791027997213,162,121.124813932532,81,28.0850112997989,28.0138741830168,-7.65720465792778,-0.401103440091956,0.00490977263563281,0.279706740335544,0.0707214809872461,42.7353185408353,9.9781330226218,152.666666666667,109.931348125831,68,49.2646186530879,49.1241827575591,-21.2142508248286,-2.65815181952336,0.0233813274136902,0.587899005266121,0.17102493402455,17.988968471987,4.18374070872439,144,126.011031528013,108.666666666667
"PI_297772_LSP_AGL",108.470757915781,105.826951112035,-17.2683987971523,-4.52897094927738,0.0426454625548236,1.18075484137881,0.148851037543057,22.014764940018,5.04908044582351,142.333333333333,120.318568393315,99,19.0095257356763,18.8692605090525,-6.62005387482515,-0.228642400369927,0.0028626218581975,0.196950782156845,0.0586988412624837,51.2278300872543,11.8907055000695,165.666666666667,114.438836579412,64.3333333333333,19.5829726128464,19.0936622103796,-29.0368698143871,-1.51096972217586,0.0129568175341936,0.225888248035921,0.232361720457141,13.0569304755553,3.00878682899898,138.666666666667,125.609736191111,113.333333333333
"PI_297783_AGL",115.450429759273,113.639535542709,-13.1542764768218,-3.37796016404875,0.0349946572573512,1.17367040197512,0.12065185626648,24.5717254497717,5.75190295928335,138.333333333333,113.761607883562,89.6666666666667,26.6867400401334,26.5648610531378,-8.43768815304891,-0.456729068498344,0.00522621011867103,0.273229977836863,0.0756380205549847,41.7774135138833,9.7538873880582,154.333333333333,112.55591981945,71.6666666666667,28.6575117536988,28.2794791108934,-31.8723957011445,-2.33269457118049,0.0203563831190419,0.323277048684304,0.260932640167416,11.92068649803,2.65835922689644,134.666666666667,122.745980168637,112
"PI_297787_LSP_AGL",148.89295881766,147.065523182416,-11.7124219205976,-5.039159970285,0.0454745579077783,1.87952865600415,0.096697945383924,31.136968591599,7.22407614839861,162.333333333333,131.196364741734,100.666666666667,22.6772318888455,22.5788051056977,-6.78410572711017,-0.284188419498149,0.00352335529324176,0.235270845452071,0.0605776670249683,50.0538678157533,11.6344526966314,164,113.946132184247,65,30.5773989490129,31.0460333623315,-24.3508752019544,-2.21087245156337,0.0182703447271665,0.397418223470222,0.185978399164289,16.3190759102713,3.76873652830198,148.333333333333,132.014257423062,116.666666666667
"PI_298023_LSP_AGL",156.318567682136,154.582214279432,-9.35117827257744,-3.15170473670698,0.0353881699488067,1.56464863276993,0.0912290332515799,33.2170435154957,7.61555863506303,144.333333333333,111.116289817838,79.3333333333333,28.8006951667369,28.7015445698075,-8.51218286778704,-0.496330906879925,0.00566992273494492,0.296591103113025,0.0762254577610822,40.178573113029,9.41752336095172,153.333333333333,113.154760220304,73.3333333333333,40.4509077333223,39.8105941681576,-29.5475089817528,-3.09082391580168,0.0270317243837421,0.456505477114689,0.242469616025695,12.861100667952,2.86101954919712,135.666666666667,122.805565998715,111
"PI_298121_LSP_AGL",178.215351508706,177.132954257118,-10.4894597138549,-4.11274128350147,0.0455100063728733,1.76722918795406,0.103621274883537,28.9276398159703,6.70729747609737,138.666666666667,109.739026850696,81.6666666666667,31.877849735866,31.725881902589,-8.96733420187262,-0.578126480482313,0.0065950810706896,0.32466273593439,0.0813728567629536,36.7934615428047,8.56832399739493,149,112.206538457195,76.3333333333333,51.7844400214908,51.2262369166703,-29.1569070318385,-3.85981662386765,0.0341581545287049,0.578611812043713,0.242359614274546,12.835981324473,2.86103948480202,134.333333333333,121.49735200886,109.666666666667
"PI_298122_LSP_AGL",201.661963972489,201.125981693317,-9.11380385533508,-4.52224170501514,0.0464495395900808,2.30865818460335,0.0845414477007049,36.7451765978383,8.59578107766281,159,122.254823402162,86.3333333333333,24.9963172974686,25.0012742728162,-7.81097948254175,-0.373864264307216,0.00448986598330997,0.253609903251711,0.0711693802762454,42.214848057838,9.84099621013182,153.666666666667,111.451818608829,70.3333333333333,42.7511621261658,42.2769324555901,-26.2515978613611,-2.95978439898487,0.025729289960737,0.496197722994318,0.212764306915554,14.6647169675777,3.27805292305698,139.333333333333,124.668616365756,111.333333333333
"PI_298357_LSP_AGL",126.59036030099,124.827306844216,-14.0020308661933,-4.18802386565274,0.0411524098064944,1.36178528182955,0.123379040028105,25.520644645353,5.82921953796117,144.666666666667,119.146022021314,95,23.0271760396162,22.8273410681964,-7.30265026803333,-0.320387730109465,0.00388369717571732,0.2335088939707,0.0661238561952327,45.4534734353297,10.5723919174834,157.333333333333,111.879859898004,67.3333333333333,26.8727500548359,26.611799582404,-28.0594640337078,-2.01925490296341,0.0174709701464979,0.311880502527979,0.225658327131389,13.4016204671767,3.09343684257052,138.666666666667,125.26504619949,112.666666666667
"PI_298631_LSP_AGL",180.879718332475,180.147004558308,-9.414849903267,-3.87755840275581,0.0421842093097939,1.88896487618063,0.0909923465085084,33.1522429160263,7.69414006391971,147.333333333333,114.181090417307,82,28.4897865820925,28.5268820236527,-8.10102360514019,-0.44392742105893,0.00534137784964908,0.284625579173949,0.0751114334138835,40.22548142258,9.27918676291863,150,109.77451857742,70.6666666666667,45.6157482454624,45.0580337716601,-28.0591014095724,-3.24615237938772,0.0286672992271067,0.515478379839232,0.232023497185482,13.5766861827943,3.09201025171811,136,122.423313817206,110
"PI_298644_LSP_AGL",199.517272781158,199.289336289115,-8.76427228407917,-4.18336556859191,0.0449017657243219,2.15271014925575,0.0840414938618634,36.2864191954357,8.37846903271457,153.666666666667,117.380247471231,82.3333333333333,27.2657427893579,27.4592279850746,-9.0689265838607,-0.49594633895128,0.00573433570769856,0.275271001032083,0.0833631550716472,36.4734401476297,8.47982566532897,146.666666666667,110.193226519037,74.3333333333333,46.7665339729883,46.4577044271002,-25.6785114243184,-3.08996094103107,0.0274363354488809,0.530783337202555,0.212203085949517,14.566882949172,3.32056564722431,137,122.433117050828,109
"PI_298645_AGL",170.250096224135,169.298162843642,-11.1481637653332,-4.69601208214126,0.0465243782787721,1.9360915659933,0.100920281389394,30.4379338778207,7.03626423159258,151.333333333333,120.895399455513,91.6666666666667,25.8285082913935,25.5874777325166,-8.97447455135513,-0.463564119815222,0.00528866927722635,0.261364029579165,0.0811326222790999,37.3637460169813,8.68587067952407,149.333333333333,111.969587316352,75.6666666666667,40.2066128621644,40.3414014399435,-27.2095562330952,-2.86383249717578,0.0247472552925618,0.48026294908776,0.220977167983463,14.2032861412287,3.22295378526521,139,124.796713858771,111.666666666667
"PI_298921_AGL",122.074876061939,119.760740419351,-15.6240907728276,-3.8960918801626,0.0394618191788238,1.24238051854165,0.140386183701802,23.7414459756007,5.41500490590373,138.333333333333,114.591887357733,92.3333333333333,26.1638263256848,25.9249877399281,-7.83881462579691,-0.400105961916863,0.00473938289300602,0.265354826166104,0.0711671778187085,41.7766619692783,9.76712482968783,153.666666666667,111.890004697388,71,30.6480493930136,30.0514906031493,-30.7137443532167,-2.4077255322676,0.0209809278463407,0.345471502312574,0.251139468327038,12.334217877002,2.76128141299902,135.333333333333,122.999115456331,111.666666666667
"PI_298922_LSP_AGL",151.571942882857,150.370937743297,-10.4301440876766,-3.9607347556885,0.0396603124822768,1.70930028202212,0.0932347595935805,32.3887064659247,7.49314340995525,154,121.611293534075,90.3333333333333,24.4040311780572,24.2382998010038,-7.57131882210804,-0.374924780770401,0.00430245788335241,0.260422688669536,0.0655392357944558,46.9286299249323,10.9045608657851,164,117.071370075068,71.3333333333333,34.3021073290086,34.5887972360714,-21.4536361253868,-2.08775941070922,0.0178996585529834,0.424823996830786,0.168141796241284,18.065440383761,4.19317208203603,147,128.934559616239,111.666666666667
"PI_298923_LSP_AGL",173.550650850153,172.331686951388,-11.8531568970443,-4.43796959423995,0.0478678983795381,1.71586868125647,0.114424561022731,27.3993116810733,6.37715633159334,137.333333333333,109.93402165226,83.3333333333333,29.2836175226172,29.0828292253733,-8.47374264036032,-0.475866077828398,0.0056684806512297,0.289618995790536,0.0787171592948021,39.4174222578433,9.14109952611673,149,109.582577742157,71,46.2219457698095,45.1199456599002,-30.7286229545577,-3.53686371544416,0.0313760002988977,0.505243122469235,0.256319008815559,11.8879026004293,2.71027927183809,132.666666666667,120.778764066237,110
"PI_299116_LSP_AGL",173.467704017589,173.13907714923,-11.5133395517766,-5.07532886049545,0.0498004543363484,1.96876474683288,0.103090882557085,29.4198964725297,6.80105022966425,151,121.58010352747,93.3333333333333,26.1120015933613,25.7064748481864,-8.21110843794687,-0.43647834723792,0.00491246743321956,0.27732498321081,0.0713811573429834,42.438534809381,9.83297711185249,159.666666666667,117.228131857286,76,43.6571692154985,44.0275757183231,-21.490635650773,-2.6336538598976,0.0226111472768658,0.539534960543676,0.169575114369107,18.0201199882973,4.08899644176116,146.333333333333,128.313213345036,111.666666666667
"PI_299120_LSP_AGL",179.031257377229,178.21462462824,-11.0343111133277,-4.44435160108103,0.0474536986830329,1.84462739536126,0.106262777933232,28.5351242830517,6.61780978579356,141.333333333333,112.798209050282,85,29.3503308211764,29.2764671533888,-9.14426093655104,-0.548378499482804,0.00619698704784726,0.301495781976043,0.0824033536851706,36.7817707632423,8.49816881998097,149.666666666667,112.884895903424,77.3333333333333,46.6914821162757,46.39988249979,-30.4553722577964,-3.63365216497666,0.0319812801480588,0.526276971757276,0.252063699935454,12.4747632554313,2.75967359929523,134.333333333333,121.858570077902,110.666666666667
"PI_299121_LSP_AGL",157.349554337362,155.495707446491,-13.9149112423853,-5.05366356904864,0.050160856881573,1.69384287744196,0.126007913288238,25.02764012307,5.8160084484499,142.666666666667,117.639026543597,93.3333333333333,27.2139276226858,27.1202785644646,-8.2702587764967,-0.422164469522838,0.0050907367616888,0.271500668054895,0.0770298137341053,40.298261427695,9.40948192333302,150,109.701738572305,70.3333333333333,37.2149614422244,37.0288374315199,-29.0166314217281,-2.80151204822644,0.0246272991100216,0.422452997080078,0.238877958496806,12.9644463505557,2.9040035728977,135.333333333333,122.368886982778,110.666666666667
"PI_299126_LSP_AGL",118.577266163277,116.430081426934,-18.5802151531177,-5.01116671711853,0.046745675199798,1.31719893116019,0.158792753314022,22.0608271587763,5.09508450693668,143.666666666667,121.60583950789,100.333333333333,23.3078345615168,23.1891378280527,-7.00144273364307,-0.300232076419835,0.00371475911188261,0.238568315798978,0.0627138793365655,47.5841627541843,11.0654366954923,161,113.415837245816,67,25.8755583716361,25.5374230308908,-28.7526219177122,-2.02790698084532,0.0173654972743262,0.303239511489393,0.229665869282976,13.467524078114,3.07346190428393,139.666666666667,126.199142588553,113.666666666667
"PI_299163_LSP_AGL",147.193666079317,144.596473026882,-11.500971244883,-4.17181669605863,0.0405424488843349,1.70265290250831,0.100331839193448,31.8335146877987,7.4346419011922,156.333333333333,124.499818645535,93.6666666666667,24.2167228278021,24.2907941183287,-7.27479165271328,-0.320488531967256,0.00407663767130984,0.237212831853585,0.0686609516485178,44.095659984584,10.233140579066,151.666666666667,107.571006682083,64.3333333333333,30.4813043292686,30.2334568292876,-26.2032085992141,-2.12986249347999,0.0183960565111365,0.359337730403961,0.210338741815933,14.8860188500127,3.34074620708214,140.666666666667,125.780647816654,112
"PI_299164_LSP_AGL",173.244272753681,172.971802588003,-9.32840256913706,-3.62139016202419,0.0398673815762613,1.79510025992348,0.0903394588945009,34.154971702004,7.89815231985751,147.666666666667,113.511694964663,80.3333333333333,27.1460688519478,27.2466782968165,-6.99800796574025,-0.345877581107614,0.00441670353243875,0.26877734675178,0.0657302733249916,45.5820803711687,10.6301820773015,154,108.417919628831,64,40.497024358302,39.5067364501072,-25.742564964573,-2.69366812240853,0.0239431063753447,0.448442640561695,0.213029006007692,14.728139855121,3.37213551046502,136.666666666667,121.938526811546,108
"PI_299165_AGL",237.371353716051,238.021956642338,-7.82792432392555,-4.80484623051226,0.0506160698628009,2.7052586159719,0.0758222248692616,39.5185444938477,9.22031929282646,161,121.481455506152,82.6666666666667,28.3644421525299,28.642993178051,-7.46569506159997,-0.401330965184486,0.00494527112263889,0.286899553727868,0.0690570114696413,43.1372510239443,10.0426979556109,153.333333333333,110.196082309389,68,55.9518926941815,55.3195956252232,-25.1541759232635,-3.6319182445513,0.0319482073592029,0.648195728596621,0.206403378442461,15.4233452573447,3.54895039334404,139.666666666667,124.243321409322,109.666666666667
"PI_299177_LSP_AGL",207.754990334336,207.921302160004,-8.22764045858796,-4.05927879910999,0.0443443580500793,2.25455935456985,0.081071068365935,37.0759272820993,8.68216784051062,153.333333333333,116.257406051234,79.6666666666667,26.3194931066533,26.26357086614,-8.26025288895672,-0.431549750246022,0.0050202588126063,0.270659011745857,0.0743751865507877,40.3925899660193,9.41421835749926,153.333333333333,112.940743367314,73.6666666666667,47.2395548530708,46.8091858299729,-26.1217267371342,-3.24364688536312,0.0283926296500004,0.544495839158729,0.2132554566216,14.6918382422847,3.28235310840462,138.666666666667,123.974828424382,110.333333333333
"PI_299237_LSP_AGL",237.706039344268,238.271421525145,-8.22926802052894,-5.2893557381771,0.0536296370180193,2.79782000595083,0.0773238063049412,38.9902904089883,8.99994238657535,163.666666666667,124.676376257678,87,25.6877969482541,26.1103516418972,-8.40563339935823,-0.397082015847394,0.00497099095485278,0.249091373344162,0.0813857449331514,38.272221184979,8.87421383399172,143.333333333333,105.061112148354,68,47.1926118095019,46.5738444398558,-24.8690774025805,-2.97754819178231,0.0265912620291165,0.531034263934554,0.206436785346721,15.246704671344,3.4443336418233,137.333333333333,122.086628661989,108
"PI_299289_AGL",158.462371081748,157.313800062721,-10.3946592176755,-3.9636600020099,0.0406618376602263,1.71973793095951,0.0949140766036385,31.5232017187053,7.31660380356848,150,118.476798281295,88,25.8066006153822,25.7009167765082,-7.91169013129258,-0.386648189089597,0.00464010271739581,0.260455373659629,0.0721651863677486,41.624292750153,9.74149667522016,153,111.375707249847,70.3333333333333,36.7428902329144,36.3015095128886,-27.740588927372,-2.70086090875594,0.0234603102889436,0.423918216150518,0.225058735543067,13.9153493661283,3.15421401471029,138.333333333333,124.417983967205,111.666666666667
"PI_299312_AGL",166.030703200909,165.435421567617,-8.11006402800834,-3.23329367758856,0.0346468730300391,1.86286351077301,0.0759736500983355,39.772678052136,9.27432401228242,160,120.227321947864,81.3333333333333,29.5924943348765,29.8591373364203,-7.05133601421752,-0.3814965587195,0.00487065212949147,0.294091163699249,0.0663818246755304,44.9343573651103,10.455476388424,153.333333333333,108.398975968223,64.6666666666667,41.1728925372557,40.475703169197,-23.250161054604,-2.4784814189255,0.021917386229347,0.47168697182044,0.189277244377511,16.5484477980027,3.80842175689228,141,124.451552201997,108.666666666667
"PI_299345_AGL",209.582567997845,208.483883076006,-8.1629525375066,-4.5831036934739,0.0461124375892785,2.49481225776968,0.0745568378256239,40.0935839486857,9.30473798978178,166.333333333333,126.239749384648,87,28.8864678933223,28.487774185854,-8.23900742999257,-0.471579972415828,0.00543242549035345,0.297249891788291,0.073448977729062,41.1328542906257,9.49288610490697,155.333333333333,114.200479042708,74.3333333333333,57.5365354006466,58.1931628593687,-21.4030669053603,-3.39317647366866,0.0289426463844162,0.726088108712772,0.16803886817538,18.6985616275793,4.23253817020786,148.333333333333,129.634771705754,112.333333333333
"PI_299351_LSP_AGL",156.259982067549,155.016470174236,-12.283757389456,-5.80150453914702,0.0510136304289772,2.02126172787847,0.10023400311521,29.8979793289957,6.93698359263237,162.333333333333,132.435354004338,103.666666666667,20.5770918101569,20.2087274097728,-9.27944793941648,-0.39361363574337,0.00433504645049994,0.213536000029982,0.0812683632042503,36.566368257236,8.56827253976722,152,115.433631742764,79.3333333333333,30.4198099670427,30.8734798332582,-25.5139226625128,-2.31174740409081,0.0190235305195846,0.396649306128389,0.195315908248196,15.4537130237317,3.56591704444088,147.333333333333,131.879620309602,117.333333333333
"PI_299366_LSP_AGL",195.230564598763,194.993816214869,-7.82297223376496,-3.65742615129245,0.0399133143251039,2.12651660914935,0.0750465785703156,39.8756800167023,9.24554094958773,158.333333333333,118.457653316631,79.6666666666667,30.3651429669559,30.5145979514897,-7.78283477107083,-0.443723939164973,0.00540953379747028,0.305421428759261,0.0719322256922255,42.521704519535,9.90839428515572,152.666666666667,110.144962147132,68.6666666666667,50.49243305692,49.4003913493683,-27.812490526654,-3.67456154209695,0.0321740667036926,0.569605251162929,0.227955612599061,13.8469239399443,3.09073088550163,137.333333333333,123.486409393389,111
"PI_299375_LSP_AGL",208.123924606124,208.143126653064,-8.90893752833849,-4.11394188698767,0.0467020209774333,2.1150878173187,0.0907751619968094,33.7406777285367,7.80570791873036,144.333333333333,110.592655604797,78,31.3061280224721,31.510980226226,-7.73484448728881,-0.461886125856053,0.0056426657535209,0.314015404785956,0.071965174634663,41.0288268281257,9.64115022317212,150.666666666667,109.637839838541,69.3333333333333,56.1405974884581,55.0065920852616,-26.3915164413057,-3.73085245284081,0.033299467559997,0.62185512621509,0.220188877901578,13.8956162869207,3.18514127795751,135.333333333333,121.437717046413,108.666666666667
