"Name","Su18_Plot.Area.d061","Su18_Plot.Area.d065","Su18_Plot.Area.d068","Su18_Plot.Area.d072","Su18_Plot.Area.d076","Su18_Plot.Area.d079","Su18_Plot.Area.d086","Su18_Plot.Height.d061","Su18_Plot.Height.d065","Su18_Plot.Height.d068","Su18_Plot.Height.d072","Su18_Plot.Height.d076","Su18_Plot.Height.d079","Su18_Plot.Height.d086","Su18_Plot.Volume.d061","Su18_Plot.Volume.d065","Su18_Plot.Volume.d068","Su18_Plot.Volume.d072","Su18_Plot.Volume.d076","Su18_Plot.Volume.d079","Su18_Plot.Volume.d086"
"CN_106265_AGL",0.713651807809552,0.882305225334027,0.8893713380506,0.993367340090404,0.967469178572797,0.936312000676367,1.00258255317456,0.161287958423297,0.182232563694318,0.18688876926899,0.209956546624502,0.227158253391584,0.207709163427353,0.195538476109505,0.116331395877049,0.161013369656313,0.166563137185614,0.209028296563791,0.219922467921513,0.194812639008113,0.196138277191645
"CN_108369_AGL",0.568320857644087,0.687309683048004,0.716426643293025,0.769776425525727,0.685297490728671,0.68922213491264,0.72980868180611,0.140053739150365,0.163162236412366,0.16393285493056,0.178195168574651,0.189586987098058,0.178114747007688,0.141313642263412,0.0808581957664363,0.11165947263349,0.117235864071881,0.137441317033053,0.129798610306174,0.122910720120235,0.103248339115308
"CN_108370_AGL",0.618062105980759,0.780061744767474,0.802341141363424,0.939142921445637,0.786144548347713,0.763084501321422,0.86565441328859,0.148169149955114,0.177559147278468,0.190686494112015,0.239323645830154,0.245676919817924,0.25039866566658,0.208819766839345,0.0923736183118686,0.139175396739429,0.153848949593175,0.225181473088163,0.193733369439636,0.189875869544885,0.179989887305022
"Crimson_AGL",0.506434576652008,0.669836623601121,0.651902202833823,0.668252323083701,0.628575675528367,0.611479938971258,0.685426513402888,0.126687347888947,0.157073845465978,0.156526689728101,0.160840595761935,0.178552597761154,0.156637628873189,0.136409724752108,0.0634795208232599,0.105045667258941,0.101762599190691,0.107662014662661,0.112582933280247,0.0963143159117087,0.0938363710919966
"DPL_62_AGL",0.399167117341064,0.509391657757918,0.496904001835909,0.620373395397642,0.573429824831298,0.572654992197286,0.674538408319654,0.0818034783005714,0.101678110659122,0.0918930793801944,0.0921475986639659,0.103475841383139,0.0898941705624263,0.0861265435814857,0.0326700706509721,0.0518513872039261,0.0456821224909933,0.0571342932040308,0.0592311333481599,0.0514616186505232,0.0581827383521763
"Eston_AGL",0.549824251611295,0.62910947140808,0.647593922443593,0.726009389393084,0.719246844878257,0.725682884196811,0.737824910738243,0.133948013186455,0.162723993261655,0.157254045208295,0.175003906091054,0.187723934650421,0.169894014795621,0.157501429319382,0.0747356826970502,0.102855617556725,0.101750064117534,0.12610247516506,0.133795503269156,0.121264164339825,0.114915296482489
"Gudo_AGL",0.38945061071117,0.478177825410329,0.467812462832841,0.563072746639287,0.51169283838752,0.498081996445312,0.532768910467826,0.0907926807800929,0.116195477545261,0.109841038783391,0.101762627561887,0.110291195412477,0.0928170929352442,0.0847556069493294,0.0356426946237899,0.0554194567610872,0.0513541219858314,0.0572360724306583,0.0562397696477894,0.0462514531730244,0.0449618994765123
"IG_1046_AGL",0.416046314670179,0.526594158842903,0.520594936924259,0.587303066253332,0.571595873420614,0.601806409821571,0.711558331886802,0.133996901412805,0.145453537503878,0.147329007585843,0.145936444401741,0.157036229968071,0.139495794971784,0.108267081280549,0.0555890519672308,0.0766495509740779,0.0768452610008971,0.085918248541374,0.0899483239980818,0.0841353364327586,0.0769622349656792
"IG_1706_AGL",0.403076970077237,0.546566226185743,0.532727361142894,0.608289237426112,0.544261122482145,0.569401321878065,0.696953190282873,0.105798485378424,0.142496546109517,0.142331123352051,0.149073213338852,0.167628571391106,0.149472869932652,0.135128999749819,0.0427549390206417,0.0793039435495528,0.0772200498998126,0.0923006111042999,0.092919065910282,0.0873137518037203,0.0966177491327414
"IG_1959_AGL",0.383189724170931,0.484429028809215,0.468466174345668,0.53449935069904,0.495817893341238,0.508657786541416,0.530153964840277,0.0909468978643417,0.126052014529705,0.122343587378661,0.118507444858551,0.125186969836553,0.109042731424173,0.095893993973732,0.0350730818857552,0.0610193088211235,0.0571983059739081,0.0632234725982423,0.0620625552605531,0.0554698601050452,0.050681931429141
"IG_4258_AGL",0.320434830225493,0.436349443515878,0.422605021786051,0.500501769664143,0.470137965201763,0.457049783821254,0.502930119429308,0.121677498022715,0.0900632441043854,0.0843430111805598,0.08151808877786,0.0904727106293042,0.0782723501324654,0.0684333940347036,0.03992528368061,0.0395109096230997,0.035720087615532,0.0409598995881422,0.0430050374846621,0.0361063704058754,0.0348710412178571
"IG_4781_AGL",0.526211036516529,0.662897673485531,0.644943958660307,0.705684391454938,0.649977643911212,0.657739330137167,0.695809767850725,0.104185367623965,0.141957441965739,0.134549314777056,0.126959457993507,0.141081169247627,0.11438412219286,0.100311440726121,0.0546180283958826,0.0940996178840742,0.0867483269938659,0.0894987211884117,0.0916775303884189,0.0752409152993537,0.0697219308822436
"IG_858_AGL",0.424581120498199,0.53490188139998,0.557085161137301,0.597623041684623,0.618355391781047,0.620763712308667,0.666954230598799,0.120562409361204,0.142167404294014,0.136653969685237,0.146788482864698,0.154294500748316,0.138489594062169,0.120937451720238,0.0511352447589205,0.0759158887273674,0.0761273184515647,0.0878082255414333,0.0957862541291428,0.0864848057509925,0.0807402035155367
