"Name","It17_gc.a.at.DTF","It17_gc.a.at.DTM","It17_gc.a.perc.DTF","It17_gc.a.xmax.DTF","It17_gc.a.xmax.DTM","It17_gc.a.xmid.DTF","It17_gc.a.xmid.DTM","It17_gc.h.at.DTF","It17_gc.h.at.DTM","It17_gc.h.perc.DTF","It17_gc.h.xmax.DTF","It17_gc.h.xmax.DTM","It17_gc.h.xmid.DTF","It17_gc.h.xmid.DTM","It17_gc.v.at.DTF","It17_gc.v.at.DTM","It17_gc.v.perc.DTF","It17_gc.v.xmax.DTF","It17_gc.v.xmax.DTM","It17_gc.v.xmid.DTF","It17_gc.v.xmid.DTM"
"ILL_7716_AGL",1.15317460597962,1.52700692760818,74.9975311018629,17.6666666666667,-21.6666666666667,-10.4799300165647,-49.813263349898,0.219877142234006,0.344190787591938,62.4370565672032,33.3333333333333,-6,-6.82912263079533,-46.1624559641287,0.17018944430338,0.562117742629424,32.1161226526823,15.6666666666667,-23.6666666666667,3.16787351615833,-36.165459817175
"ILL_7747_AGL",1.39833633775496,1.71979570058925,80.4573334133552,9.66666666666667,-22,-11.9910564637183,-43.657723130385,0.207645159878897,0.27324883161039,70.1389882006731,40.3333333333333,8.66666666666667,-15.2565603541023,-46.923227020769,0.366499937837495,0.507049223197753,70.1675982322498,10.3333333333333,-21.3333333333333,-4.89929795428633,-36.565964620953
"ILL_7946_AGL",1.53232295104392,1.86213825252406,81.807450869151,16.6666666666667,-19,-15.8083029555053,-51.474969622172,0.243710089938524,0.289348507172168,83.1423363033583,17.6666666666667,-18,-20.3492806137343,-56.015947280401,0.446664220469923,0.499737559731826,89.1607822248848,4,-31.6666666666667,-9.38032109380433,-45.046987760471
"ILL_7978_AGL",0.897696144832447,1.25635142218627,72.1013383494666,17.3333333333333,-19,-8.61757808900667,-44.95091142234,0.160506314654811,0.26989351000522,57.4788686042012,33.3333333333333,-3,-3.94451321697133,-40.2778465503047,0.104342150775437,0.370638800366698,26.6396087681722,16.3333333333333,-20,4.19765926459034,-32.135674068743
"ILL_7979_AGL",0.717465350525616,0.949867163587827,73.6521582057746,11.3333333333333,-22.3333333333333,-6.70168770283866,-40.3683543695053,0.182078038821649,0.257106756040844,67.2603032911377,33.3333333333333,-0.333333333333333,-10.505542432245,-44.1722090989117,0.162026541652848,0.277357965289711,56.2202231746431,11,-22.6666666666667,-0.93556186138,-34.6022285280467
"ILL_8007_AGL",0.498751525420239,0.698205426816874,71.4196799634065,18.6666666666667,-21,-8.14075489291333,-47.80742155958,0.138184571562651,0.200907436349079,66.4764803032531,37,-2.66666666666667,-11.8750276364272,-51.5416943030938,0.0471513682198162,0.166257737026967,26.9211280126218,17.6666666666667,-22,4.40314879798067,-35.263517868686
"ILL_8009_AGL",0.729579774437718,0.912172886329182,81.1818721564627,7.66666666666667,-25,-7.23889133943933,-39.905558006106,0.141312675381461,0.188451682212699,72.0892997577995,31,-1.66666666666667,-15.3107896700677,-47.9774563367343,0.120867741082731,0.195685235188366,64.4508561580578,10.3333333333333,-22.3333333333333,-2.51487345828634,-35.181540124953
"ILL_8010_AGL",0.868002791675644,1.06335910089541,79.1643719372756,16,-13.6666666666667,-12.1144877902833,-41.78115445695,0.165782546063624,0.205554139133865,78.993216022007,22.3333333333333,-7.33333333333333,-19.4748861952298,-49.1415528618965,0.176503806484894,0.241428456472082,70.4857523130452,11.3333333333333,-18.3333333333333,-3.911799210076,-33.5784658767427
"ILL_8072_AGL",1.60063277696506,1.86060509660652,85.5693462725424,14,-18,-22.521408883195,-54.521408883195,0.261865974233394,0.290171757740267,89.1712646705889,12,-20,-29.4869868570317,-61.4869868570317,0.48009038382039,0.490293534675148,97.9015740754247,-3.66666666666667,-35.6666666666667,-16.082856099547,-48.082856099547
"ILL_8174_AGL",2.04207666422002,2.68557170119107,74.4349678626926,27,-9.66666666666667,-15.7085349979827,-52.3752016646493,0.280451697481298,0.306582150165595,91.0158512395639,8.33333333333333,-28.3333333333333,-28.5711444537197,-65.2378111203863,0.627971393108801,0.662362429460979,95.0830209105958,-1,-37.6666666666667,-15.7711591592933,-52.43782582596
"ILL_8595_AGL",1.5882379901971,2.16922049143684,71.9178303068029,24.5,-12.5,-11.2082844215605,-48.2082844215605,0.221526602949617,0.255160028753532,85.8171425458731,16.5,-20.5,-24.9130845079805,-61.9130845079805,0.434493747994493,0.469649793092986,92.6425518974884,2,-35,-11.724021328411,-48.724021328411
"ILL_9_AGL",1.28929167899926,1.445970008098,89.0153470040844,7,-29,-18.8389583563753,-54.8389583563753,0.230497761827854,0.288432912666123,78.2321648592919,22.6666666666667,-13.3333333333333,-16.9810127669197,-52.9810127669197,0.375153177866113,0.428036752260868,87.5093221444664,4,-32,-7.643040254958,-43.643040254958
"ILL_975_AGL",1.31036442744705,1.56621178330656,84.5276202867657,11.5,-17.3333333333333,-15.3011181751805,-46.9527975598143,0.244502549289635,0.298451931213134,80.7505996683174,17,-14.6666666666667,-15.8889551345405,-50.4462064120323,0.393992592049887,0.45693974212412,82.5222175695511,6.5,-27,-6.70227540677,-40.0394312396957
"ILL_9888_AGL",1.0812286873681,1.40263086094782,76.7422528832255,15.3333333333333,-14,-10.4980893443183,-39.8314226776517,0.177091376030471,0.217788148942874,79.1117450151951,22,-7.33333333333333,-15.542461621579,-44.8757949549123,0.233277269970487,0.317259703787773,76.6164573221558,7,-22.3333333333333,-5.49823964574933,-34.8315729790827
"ILL_9932_AGL",1.02718838414188,1.39738904732886,74.0133672786991,16.3333333333333,-16,-9.02019370012633,-41.3535270334597,0.180097523152377,0.226574923341102,77.5549559167109,23.3333333333333,-9,-16.4404671690037,-48.773800502337,0.242512165502528,0.318436243763372,76.5235436759682,7,-25.3333333333333,-4.43004887784267,-36.763382211176
"ILL_9945_AGL",0.889415245751244,1.13228343685841,77.9949804600608,14.3333333333333,-21,-10.943073877165,-46.2764072104983,0.202331560097468,0.277329159327312,71.2752825562793,28.6666666666667,-6.66666666666667,-12.5938949922743,-47.9272283256077,0.196959074371066,0.325729903631573,61.8725013195263,9,-26.3333333333333,-2.037381370312,-37.3707147036453
"ILL_9977_AGL",0.622746181428685,0.910096381947361,62.0837920542812,23,-10.6666666666667,-4.667665953113,-38.3343326197797,0.163076990745213,0.212629712432807,72.8804520909017,33.6666666666667,0,-16.4042366810577,-50.0709033477243,0.137145799590994,0.215701166698428,54.2727520544697,14,-19.6666666666667,0.178461557095327,-33.4882051095713
"ILL_9997_AGL",0.682833438896401,1.0964887090304,62.2412308844418,19.3333333333333,-18.6666666666667,-3.93095067873334,-41.9309506787333,0.178665525069781,0.262243793708179,66.805467566547,29.6666666666667,-8.33333333333333,-11.4481579751243,-49.4481579751243,0.127601784037929,0.282342529403989,46.4698757929153,12.6666666666667,-25.3333333333333,0.689856427682334,-37.3101435723177
"ILWL_118_AGL",1.11008739613678,1.19178846408189,92.4515837401155,2,-24.3333333333333,-18.1319547345657,-44.465288067899,0.171115332833983,0.202074256728915,81.7443377105766,23,-3.33333333333333,-22.81528799341,-49.1486213267433,0.228472767330223,0.243303414988629,92.7363457957401,0.666666666666667,-25.6666666666667,-12.3394465416503,-38.6727798749837
"Indianhead_AGL",1.25121565451454,1.31166513458663,97.4252411030105,-9,-29,-30.696182467994,-53.421210975724,0.251631294951072,0.277702442517503,91.8405570956026,5.5,-14,-28.5896975480945,-53.917127656614,0.341364901774045,0.368175815924294,96.9073269022087,-6,-27,-21.9166393096255,-45.821325469449
"IPL_220_AGL",1.02977299243253,1.25491460703825,80.5065166821175,8.66666666666667,-22.3333333333333,-10.127255176775,-41.127255176775,0.183160442993557,0.247927438640971,71.0181581762692,27,-4,-11.804139658402,-42.804139658402,0.235154377744742,0.335096078542065,66.5105980008939,9.33333333333333,-21.6666666666667,-2.93386675833833,-33.9338667583383
"Laird_AGL",1.63901875805684,2.00390568439606,80.0083822126666,19.6666666666667,-15.6666666666667,-18.248278069651,-53.5816114029843,0.284354697666744,0.311849362029225,90.1797820287311,11.6666666666667,-23.6666666666667,-33.9462816448603,-69.2796149781937,0.509695711377596,0.548955371062726,92.595737567727,-1.33333333333333,-36.6666666666667,-16.2979060051507,-51.631239338484
