"Name","Ro17_gc.a.auc.e","Ro17_gc.a.auc.l","Ro17_gc.a.b","Ro17_gc.a.g.b","Ro17_gc.a.g.r","Ro17_gc.a.k","Ro17_gc.a.r","Ro17_gc.a.x.d","Ro17_gc.a.x.gen","Ro17_gc.a.x.max","Ro17_gc.a.x.mid","Ro17_gc.a.x.min","Ro17_gc.h.auc.e","Ro17_gc.h.auc.l","Ro17_gc.h.b","Ro17_gc.h.g.b","Ro17_gc.h.g.r","Ro17_gc.h.k","Ro17_gc.h.r","Ro17_gc.h.x.d","Ro17_gc.h.x.gen","Ro17_gc.h.x.max","Ro17_gc.h.x.mid","Ro17_gc.h.x.min","Ro17_gc.v.auc.e","Ro17_gc.v.auc.l","Ro17_gc.v.b","Ro17_gc.v.g.b","Ro17_gc.v.g.r","Ro17_gc.v.k","Ro17_gc.v.r","Ro17_gc.v.x.d","Ro17_gc.v.x.gen","Ro17_gc.v.x.max","Ro17_gc.v.x.mid","Ro17_gc.v.x.min"
"CDC_Royale_AGL",99.0727458709958,96.7737028029386,-7.22289499505139,-2.30449051786402,0.0642547321685017,1.56118603469089,0.166694149050936,18.3245395461144,4.17036196650428,66.3333333333333,48.0087937872189,30.6666666666667,18.0581465025246,18.1644313936489,-4.58728926866379,-0.182712216097505,0.00740204423750569,0.272035485014405,0.109937761981726,27.6136662521526,6.33308925320278,70.6666666666667,43.053000414514,16.6666666666667,24.5405210846647,24.183311327953,-9.53524441116883,-0.809911454725559,0.0192688707230413,0.424431734765377,0.183815624233809,16.661155062993,3.78590910541529,69.6666666666667,53.0055116036736,37.3333333333333
"CDC_Ruby_AGL",104.98777435806,102.286029437237,-8.09209153062834,-2.71972900684851,0.0760076531337833,1.60703366006852,0.192002741956982,15.6743607580741,3.62238975626311,62,46.3256392419259,31.3333333333333,20.8541781787574,21.0435932703828,-4.60260356263778,-0.225217649419176,0.00852525916218316,0.327944727703382,0.104675549414288,28.6856105875933,6.63376401542685,74.3333333333333,45.64772274574,18,30.3979737521017,29.7939408694275,-9.86625799775492,-1.05397589928398,0.0245475466805125,0.530359292250171,0.188917094099703,15.9540901136485,3.68377213442927,69.6666666666667,53.7125765530182,38.3333333333333
"CDC_SB.1_AGL",80.9360844736471,80.0287078419443,-17.49704685838,-4.50697234815549,0.119626504851772,1.20142379417349,0.422649965498384,9.37204999235733,2.038954080309,53,43.6279500076427,35.3333333333333,17.1077797093242,17.2474950203863,-4.7340906380656,-0.179171973763525,0.00732455398110731,0.252880478671982,0.116555515688294,25.6263730337661,5.96444061187867,67.3333333333333,41.7069602995672,16.6666666666667,18.4561711165993,18.1758605391028,-11.2378786069617,-0.679420135346376,0.0168874591144368,0.299360192871912,0.231445458260914,13.5565996241589,3.11766630317159,63,49.4434003758411,37
"CDC_Sedley_AGL",101.111205256362,98.676214795394,-8.39535409272709,-2.71282387245046,0.0760716201073094,1.54568005159202,0.200456267377633,16.1919121764738,3.70833810636629,62.3333333333333,46.1414211568595,30.6666666666667,18.4978646620611,18.7070011242557,-4.70196084605004,-0.186039074134507,0.00803636700499092,0.266990651426608,0.121658674225707,25.506183529808,5.84446908596558,65.3333333333333,39.8271498035254,15.6666666666667,25.0806587792396,24.630825075171,-10.3333688210854,-0.863760419561943,0.021211904029966,0.414307480060173,0.209754796828958,14.349297646746,3.31208808877344,64.6666666666667,50.3173690199207,37
"CDC_Vantage_AGL",96.1399053365677,93.3715341657696,-9.09134988762439,-2.74914834030693,0.0779615457210127,1.42800222476905,0.220017692614689,14.5846788351273,3.28573296976975,59.3333333333333,44.748654498206,31.3333333333333,17.9283105814954,18.030063509795,-5.66416846193267,-0.230117120333979,0.00943085665964539,0.248899293100066,0.15387431015085,20.1105826496068,4.5581471146845,57.6666666666667,37.5560840170599,19,22.5035816337214,22.2678927356964,-14.3106519968215,-1.05253977480268,0.0268208238414332,0.348016260501696,0.315327543413793,10.0868630771895,2.29214511480927,56.3333333333333,46.2464702561438,37
"CN_105604_AGL",77.031976304603,75.4277181739783,-9.24770276667132,-2.28117304185268,0.0620897907387591,1.19066978287415,0.212140760270819,15.6154163585747,3.51742661555985,62.3333333333333,46.7179169747586,32.6666666666667,13.2436086271703,13.3443452115253,-4.75494266293423,-0.127807960556603,0.00596044949127042,0.182653156639204,0.131978632055653,22.8362618637668,5.30625420080896,59.6666666666667,36.8304048028999,14.6666666666667,13.228866944611,13.0198843442168,-11.5280572281512,-0.513022669108109,0.012597877044661,0.214610934895762,0.235804221240783,13.2235481662765,3.02053915253109,62.6666666666667,49.4431185003902,37
"CN_105605_AGL",79.6944769723333,78.12381846655,-8.62062422980738,-2.00650971918679,0.0586699583383834,1.18160163636406,0.207399109002378,15.298598357675,3.55973960707494,59.3333333333333,44.0347349756583,29,13.7865118899693,13.8412980276608,-4.73700790982759,-0.129720817291293,0.00625850104974423,0.186406190216832,0.135488945790878,22.630398258556,5.19335017428023,58.3333333333333,35.7029350747774,14.3333333333333,14.1744102025813,14.369426149526,-10.6889585063786,-0.436275032478315,0.0119146386646162,0.22457830721108,0.234317523520896,16.8376634963033,3.89602958147727,63,46.1623365036967,30
"CN_105715_AGL",69.6824211880059,67.9641644842275,-11.5085597604191,-2.23031944239392,0.0658470465136962,0.985599184152095,0.289159960249224,12.4473765631175,2.73150412698817,53.6666666666667,41.2192901035492,30.3333333333333,14.1093356935431,14.3344065223088,-5.09029665414902,-0.141825784395302,0.00711159498202475,0.187565628811685,0.157210050014618,20.631239629851,4.77460131999517,54,33.368760370149,14,12.579558825624,12.798408899863,-6.89600161077385,-0.212470845015189,0.00699891476452633,0.194251300282973,0.157545912577738,22.1142688082224,5.08931862651463,66.3333333333333,44.2190645251109,23
"CN_105732_AGL",88.3381376476779,86.4936866361538,-14.0186407365318,-3.74774555023044,0.101037663773064,1.32723655103707,0.338116705395213,11.9324836051708,2.69401991891949,56.6666666666667,44.7341830614959,33.6666666666667,17.14465022554,17.2926367663246,-4.69818299963755,-0.173112052572777,0.00736348767634761,0.24864733092899,0.119402799265137,25.6421320086862,5.93414104270886,66,40.3578679913138,15.6666666666667,19.9323823337814,19.6764033840615,-11.911168099361,-0.78092086522159,0.0192761409335458,0.32462482725894,0.247589593858285,13.06506957946,2.94275245933532,62.3333333333333,49.2682637538734,37.3333333333333
"CN_105767_AGL",69.908008054909,68.7425559523244,-12.7203081722501,-2.65994664921073,0.0744779245108303,1.02516980815264,0.311218249136837,11.7610625723153,2.6127864285225,54.6666666666667,42.9056040943514,32.3333333333333,14.0707244007041,14.269144981813,-5.65597632124048,-0.168679451640515,0.00803035393145959,0.184358077311682,0.176857025897384,17.7381721721484,4.02865053139257,50.3333333333333,32.595161161185,16,12.5561935875285,12.6575994886656,-6.92078476499154,-0.250719212212202,0.00764075737507864,0.197959199009798,0.153257259632074,22.2637666850827,5.14148355868609,68.3333333333333,46.0695666482507,24.6666666666667
"CN_105777_AGL",67.7359506926396,66.5136673864172,-7.52913859551978,-1.62520769333368,0.0445845939638312,1.0980073506315,0.165782798096721,20.6175546872756,4.70630736475371,70,49.3824453127244,30,11.5350932792574,11.5242671023012,-6.49402166559945,-0.168377119673078,0.00706459853861149,0.153090239369711,0.189554200110127,16.9722901317179,3.89001915018884,51.6666666666667,34.6943765349488,19,9.68953166549994,9.69121018824118,-14.389155930485,-0.446297047581892,0.0112126506609162,0.155419123271373,0.310120096578225,12.6619399025909,2.90746164228742,60.3333333333333,47.6713934307424,35.6666666666667
"CN_105789_AGL",46.7643992228313,46.1429463228073,-6.38366637315624,-0.751270427343626,0.0250625843035226,0.694843371301372,0.153032975877332,21.9644487513628,5.00833873667313,65.6666666666667,43.7022179153039,23,9.95152736922106,10.0960628589711,-5.32128195770643,-0.10447548755385,0.00559697045807604,0.127504357207051,0.179393210542329,19.6508464515397,4.45707825066428,50.3333333333333,30.6824868817936,14,5.53803717169554,5.58910879062219,-6.90324278980433,-0.0861565381058273,0.00276897233258709,0.090240304953654,0.147321250801717,30.6123135752403,7.08844960793335,78.3333333333333,47.7210197580931,22
