"Name","Su17_gc.a.auc.e","Su17_gc.a.auc.l","Su17_gc.a.b","Su17_gc.a.g.b","Su17_gc.a.g.r","Su17_gc.a.k","Su17_gc.a.r","Su17_gc.a.x.d","Su17_gc.a.x.gen","Su17_gc.a.x.max","Su17_gc.a.x.mid","Su17_gc.a.x.min","Su17_gc.h.auc.e","Su17_gc.h.auc.l","Su17_gc.h.b","Su17_gc.h.g.b","Su17_gc.h.g.r","Su17_gc.h.k","Su17_gc.h.r","Su17_gc.h.x.d","Su17_gc.h.x.gen","Su17_gc.h.x.max","Su17_gc.h.x.mid","Su17_gc.h.x.min","Su17_gc.v.auc.e","Su17_gc.v.auc.l","Su17_gc.v.b","Su17_gc.v.g.b","Su17_gc.v.g.r","Su17_gc.v.k","Su17_gc.v.r","Su17_gc.v.x.d","Su17_gc.v.x.gen","Su17_gc.v.x.max","Su17_gc.v.x.mid","Su17_gc.v.x.min"
"CDC_Maxim_AGL",78.7895205330068,74.8216807593365,-7.79662337070932,-2.29682839757123,0.0549126788040155,1.49646197928847,0.153004774143246,20.6496250617527,4.74224044011297,76,55.3503749382473,35.3333333333333,17.9155002471308,17.4038732679808,-5.17224977529113,-0.274834363326766,0.00843197712212812,0.329378047039765,0.102330416436304,29.4774033553993,6.79928508642115,81.6666666666667,52.1892633112674,23.6666666666667,22.0864227706535,21.4418963374891,-12.4732040514714,-1.2313524570016,0.0242807166422313,0.482941996142307,0.208530365420881,14.7773779602093,3.34818400853974,75.6666666666667,60.8892887064574,47.3333333333333
"CDC_QG.1_AGL",99.5426935619225,94.470788681068,-7.47813423537284,-3.06689256588886,0.0721091823668388,1.91466761472595,0.151313143954432,20.4067853962156,4.6436742665235,76,55.5932146037844,36.3333333333333,17.304149176081,16.9964352542011,-5.30818229678481,-0.274478934448576,0.00840194912110617,0.318863199375543,0.105899423441794,28.3210456666926,6.5523733802085,80,51.6789543333074,24.3333333333333,26.7767761435531,26.0459609589837,-12.7175926126624,-1.57666933543426,0.0309102602460376,0.585096699541359,0.215521328599352,14.2933504761028,3.21740257377177,74.6666666666667,60.3733161905639,47
"CDC_Red_Rider_AGL",77.4932103714659,73.6081913793809,-7.42489444504393,-2.08925598112374,0.0521185880638837,1.43561555693298,0.150160989595575,20.6030126388166,4.6645717018611,74.6666666666667,54.0636540278501,34.6666666666667,18.6692032524446,17.9171395242173,-5.3838287310986,-0.303285624423664,0.0089910556975627,0.343516944392694,0.10511187068064,28.4688974640418,6.59769780076449,81.3333333333333,52.8644358692916,25.3333333333333,22.0882986548502,21.454650587322,-12.2574929962271,-1.20985579072927,0.0241580911963946,0.475894009953761,0.207517236784223,14.468819036244,3.34146746480604,74.6666666666667,60.1978476304227,46.3333333333333
"CDC_Redcoat_AGL",79.9019151118278,75.9576875986746,-7.86958771965397,-2.43664188183178,0.0582842402907553,1.50439053760592,0.157325072310362,19.7353195490861,4.48348310745415,74.3333333333333,54.5980137842472,36,18.5816447625061,18.0335076810774,-5.373750561978,-0.300972322855931,0.0090291078944779,0.342113296359431,0.105901200150211,28.2978774702313,6.5529157634882,80.6666666666667,52.3687891964354,25,22.9766920218137,22.3943467171266,-12.2471829451211,-1.28128189208124,0.0254595556048155,0.499217165969728,0.2074195125952,14.7427198357059,3.34432018128967,75,60.2572801642941,46.6666666666667
"CDC_Redwing_AGL",71.1744409002214,67.7593645376124,-7.54126391660381,-2.10274823541753,0.0501552854976173,1.3704787889365,0.147968680062749,20.4310567209102,4.70534598118917,76,55.5689432790898,36.3333333333333,16.4414554868639,16.1575911582562,-4.67405009717695,-0.203270885082865,0.00707643259294903,0.289524812357501,0.0981661250025744,30.6074954939065,7.07996155059696,79.6666666666667,49.0591711727601,19.3333333333333,17.2150579890363,16.8245168961079,-11.7905311329685,-0.906277263800821,0.0183668924450391,0.36917570937543,0.201728934613868,15.2688889848365,3.4943172844892,74.6666666666667,59.3977776818302,45
"CDC_Robin_AGL",96.4438244153816,92.5731551732312,-6.54840190431029,-2.51744901322472,0.062279630837569,1.86253511756686,0.134975166280137,22.32278105436,5.14773612744276,77.6666666666667,55.3438856123067,34,18.3346947700282,17.5112878743206,-5.42381958410487,-0.282700183034862,0.00885697103726135,0.317745054046442,0.111944618805344,26.7780152664249,6.21202718880227,76.6666666666667,49.8886514002417,24,26.7919283679226,26.2105658414294,-11.1127128141474,-1.34830490548154,0.0272935251547396,0.585125215331513,0.189804449011097,16.1564832726905,3.66065432685739,76.3333333333333,60.1768500606428,45.3333333333333
"CDC_Rosebud_AGL",84.0620670642567,80.0525202646929,-7.19636378250074,-2.31837854617111,0.0569990305778122,1.58261193885229,0.146199959683054,20.8392810504006,4.77353575008291,75.3333333333333,54.4940522829328,34.6666666666667,18.0493285787602,17.7279363807721,-5.08560606541272,-0.272643835689074,0.00843296452592186,0.336206060861496,0.100539948546684,30.0749875997813,6.91623363540182,82.3333333333333,52.258345733552,23.3333333333333,23.9322421092414,23.326735414915,-11.3829590919996,-1.24295627538683,0.0248184258696671,0.528218882682095,0.191748512236738,15.7997104662233,3.64217529081151,76.6666666666667,60.8669562004434,45.6666666666667
"CDC_Rosetown_AGL",82.6754902160896,78.7270327906721,-7.95298387321152,-2.46861763469898,0.05863238351424,1.5808141165952,0.155849053187097,20.0265793180885,4.59408609208442,75.6666666666667,55.6400873485782,36.3333333333333,17.1307736187677,16.5054144590553,-5.6253016453382,-0.307819117489377,0.0086267532154749,0.328014036696265,0.105604671541526,28.1737313198998,6.56449505964942,83,54.8262686801002,27.3333333333333,23.8125237360176,23.2186678620409,-12.4074227013647,-1.39833877445756,0.0267575960227677,0.546464351903902,0.201569513902416,15.0662692719747,3.45582640137757,78,62.9337307280253,48.6666666666667
"CDC_Rosie_AGL",72.3796027050923,69.4176512058332,-9.75021382671426,-2.72160319983684,0.0605266514542764,1.41164320405849,0.181900659151378,17.4520092969366,4.02051526125189,74,56.5479907030634,40,15.485161561817,14.9654238345664,-5.62510263637205,-0.279684076748692,0.00784967868353215,0.296770980552133,0.105536990044042,28.559982489276,6.59089391218312,83.3333333333333,54.7733508440573,27.3333333333333,18.9773045796869,18.5775297746351,-13.7824774427607,-1.21381290863252,0.0230313038138355,0.431060629890229,0.222662449249282,14.0290654636296,3.14138596268434,76.6666666666667,62.637601203037,49.6666666666667
"CDC_Rouleau_AGL",82.0309455824728,78.1660179459272,-7.04221424117038,-2.24467092690999,0.0548840441367864,1.57008366529033,0.141973631119517,21.523472107726,4.89586547795226,76.6666666666667,55.1431945589407,35,17.6035326892634,17.0755865712577,-5.42068705658139,-0.284564412099508,0.00859596734810473,0.320565084681524,0.107786370462612,27.9138592973307,6.44245920202476,79.6666666666667,51.752807369336,25,22.3117928580207,21.7931729608658,-11.6571460309247,-1.18138780390477,0.0236001641220644,0.490257192423057,0.196840439966993,15.4222296578099,3.55270239798857,76,60.5777703421901,46
