"Name","Su17_Plot.Area.d040","Su17_Plot.Area.d046","Su17_Plot.Area.d051","Su17_Plot.Area.d057","Su17_Plot.Area.d061","Su17_Plot.Area.d068","Su17_Plot.Area.d072","Su17_Plot.Area.d075","Su17_Plot.Area.d077","Su17_Plot.Area.d083","Su17_Plot.Height.d032","Su17_Plot.Height.d040","Su17_Plot.Height.d046","Su17_Plot.Height.d051","Su17_Plot.Height.d057","Su17_Plot.Height.d061","Su17_Plot.Height.d068","Su17_Plot.Height.d072","Su17_Plot.Height.d075","Su17_Plot.Height.d077","Su17_Plot.Height.d083","Su17_Plot.Volume.d040","Su17_Plot.Volume.d046","Su17_Plot.Volume.d051","Su17_Plot.Volume.d057","Su17_Plot.Volume.d061","Su17_Plot.Volume.d068","Su17_Plot.Volume.d072","Su17_Plot.Volume.d075","Su17_Plot.Volume.d077","Su17_Plot.Volume.d083"
"PI_298357_LSP_AGL",0.174260002863712,0.278866401621173,0.32725640093905,0.572938664961795,0.737048601581008,1.00469815845846,1.0571901048939,0.887691016787097,0.999024723563032,1.04829833282509,0.0453903451561928,0.0843708515167236,0.0989370619257291,0.133715637028217,0.167101835211118,0.200428033868472,0.20756770670414,0.226771647731463,0.228069320321083,0.237649566829205,0.236856102794409,0.0146970316267704,0.0276118666296375,0.0442002312988029,0.0970586030247318,0.14968785999883,0.210491349671909,0.240025252274163,0.203224487121212,0.238540669817515,0.237853826408317
"PI_298631_LSP_AGL",0.18866005932018,0.284320818637805,0.341164110899015,0.620016759618043,0.808865886742827,1.18702763939487,1.11173974720695,1.03990485174277,1.17964325186988,1.17801996419136,0.043745793402195,0.0869576930999756,0.0995854114492734,0.129915947715441,0.164329439401627,0.188694695631663,0.221843202908834,0.234516471624374,0.227635885278384,0.238004557291667,0.237317495942116,0.0167318168280703,0.0309650844008863,0.0481566208930485,0.1091700021457,0.164881391497048,0.272342415639108,0.270467765434263,0.245080007175717,0.278960008545946,0.278509495113525
"PI_298644_LSP_AGL",0.301653235195004,0.465491865642073,0.576981537717596,0.996650641282563,1.19401445756621,1.58710149968461,1.62230672184691,1.62586593901628,1.630012465702,1.630012465702,0.0473031948010127,0.101233979066213,0.120625540614128,0.153343811631203,0.19021113216877,0.226953675349553,0.255564173062642,0.277170757452647,0.261895596981049,0.275492302179337,0.275492302179337,0.0308139968215177,0.0568991796344043,0.0890239515609714,0.19289680097329,0.274278942927847,0.409333374267979,0.451376207221423,0.426184270749292,0.460150956560771,0.460150956560771
"PI_298645_AGL",0.272131682215891,0.397336168562128,0.515867299137848,0.781641874925253,0.989091752070196,1.25629810697846,1.21853678339072,1.15194840673183,1.25547828774518,1.26410154873827,0.0458581919471423,0.0966700489322345,0.116024067004522,0.151234763363997,0.180885712305705,0.217814589540164,0.248381416002909,0.265490467349688,0.259081497788429,0.268252518276374,0.267422532141209,0.0271484471430743,0.0487997494978753,0.0818549415634564,0.147588111668384,0.223908475674498,0.319689126556296,0.328374595898404,0.302357494897209,0.330028617448159,0.329309665682313
"PI_298921_AGL",0.3269054534766,0.433298751937006,0.484746703487442,0.73377217657996,0.845251363648787,1.07777513550052,1.07771101337299,0.95156923551021,1.08931601043053,1.08931601043053,0.0568510573357344,0.11307705193758,0.131065967182318,0.162372469902039,0.18902350962162,0.22235806286335,0.234501898288727,0.250784824291865,0.235808591047923,0.248276976048946,0.248276976048946,0.0381738866148902,0.0594712343769627,0.0809361350379195,0.14409857337948,0.193310918209582,0.255298064968268,0.271081652389023,0.226493510251042,0.269441602546097,0.269441602546097
"PI_298922_LSP_AGL",0.283364033205976,0.442928460219507,0.585015933451965,0.933352862483489,1.10281177449374,1.41275554452785,1.41858535436916,1.45661643033155,1.44205026602824,1.44205026602824,0.0439269039779902,0.0868970503409704,0.0997553467750549,0.124644999702772,0.1644516736269,0.184339334567388,0.236399903893471,0.256678427259127,0.243897755940755,0.254111642986536,0.254111642986536,0.0248839940571735,0.0455167544758523,0.0756685416624279,0.158818099884302,0.2097394453473,0.340333202949157,0.370870918066447,0.361161184506195,0.379736376898736,0.379736376898736
"PI_298923_LSP_AGL",0.354577033022754,0.49130336326412,0.596586995342225,0.85379512893801,1.0074480955714,1.16375474598332,1.18212148237163,1.10412750422769,1.16024036668019,1.17818755427959,0.0424684584140778,0.104882610340913,0.132580404480298,0.159325992067655,0.194421042998632,0.23800058166186,0.260971620678902,0.270760059356689,0.248874420921008,0.272719575365384,0.271878586113453,0.0381292551918459,0.0673646313275999,0.097820641151336,0.169635957805617,0.245095403268686,0.30839207427106,0.324667050010703,0.276997603456015,0.322220135084694,0.321519190494089
"PI_299116_LSP_AGL",0.247719886878756,0.327799747805579,0.396455328960746,0.68799277927687,0.82028907804023,1.04533165557775,1.14019926085815,1.02185120100472,1.12879726824957,1.12879726824957,0.0436095856130123,0.095563938220342,0.109903345505397,0.143476113677025,0.170863807201385,0.188159937659899,0.219949454069138,0.237484519680341,0.220521246393522,0.235109674483538,0.235109674483538,0.0241270449931201,0.038005733419053,0.0600367905313533,0.12214361783589,0.159294533501329,0.235602516960593,0.279597361976172,0.23391967430177,0.27680138835641,0.27680138835641
"PI_299120_LSP_AGL",0.194915467623908,0.269345666610094,0.358653892254387,0.515132548854596,0.644051380899159,0.912745952970278,0.945862078827364,0.856902190711766,0.953227447213575,0.953227447213575,0.0487032681703568,0.0942544887463252,0.115792992214362,0.145201588670413,0.167658487955729,0.195828219254812,0.203960140546163,0.213482772310575,0.206566552321116,0.211347944587469,0.211347944587469,0.0184410185368558,0.0311807012903066,0.0525012727714525,0.0870825171587141,0.126547608443645,0.188682171625671,0.203226383350983,0.178075541246907,0.202955844867369,0.202955844867369
"PI_299121_LSP_AGL",0.206803868775733,0.299719715341449,0.377065533284724,0.588759166700171,0.694824693888218,0.986987572693654,1.05327435557475,0.984510249666157,1.0389675363909,1.04274161201901,0.0465285989145438,0.0985903963446617,0.117462975283464,0.147360272705555,0.175808519124985,0.188141395648321,0.202314818898837,0.212694004178047,0.205544888973236,0.215899139245351,0.215195954293013,0.020650174974694,0.0365234030430436,0.0577892187643921,0.106118001322392,0.134890836989505,0.201671120400455,0.226469534454273,0.204647947466618,0.227308751631412,0.2267301689914
"PI_299126_LSP_AGL",0.228940355183768,0.34718774049232,0.407640073448823,0.601517523868901,0.715553490930044,0.887076534559302,0.937508129307962,0.809913517956446,0.897886373541721,0.928133048014882,0.0406564250588417,0.0957226107517878,0.105880464116732,0.137612015008926,0.157071217894554,0.170476734638214,0.176286086440086,0.176840836803118,0.183362980683645,0.184534909377495,0.183857412189245,0.0220878494847349,0.0384508242104098,0.0574449084002638,0.0960670584248158,0.125334452126489,0.158623476606791,0.167896499405297,0.15013765611825,0.167538685593912,0.166557157556156
"PI_299163_LSP_AGL",0.20349407109875,0.278274880404627,0.368595908204819,0.559636430504409,0.740527354894901,1.06343722456443,1.05139438504559,1.04864026566843,1.07195628040082,1.07861442892037,0.0566579972704252,0.114584319293499,0.126301971574624,0.149712815880775,0.177908961971601,0.195410350958506,0.221969862778982,0.237088729937871,0.225366393725077,0.243529266069333,0.242773485034704,0.0256632199192453,0.0390631701139755,0.0587110133741208,0.10441473994782,0.158140682759814,0.249545730436973,0.263426871165029,0.25029533357687,0.264750795469422,0.264223670205481
"PI_299164_LSP_AGL",0.252225154885074,0.372112674575259,0.483661738447161,0.724089572171874,0.840936366494506,1.04562651260541,1.08251372522723,0.978822223143338,1.07168858797495,1.07168858797495,0.0456638721128305,0.1078275218606,0.132016067703565,0.151722113291423,0.180923178792,0.211823766430219,0.235076308250427,0.241836066047351,0.219302182396253,0.239417705386877,0.239417705386877,0.0273818035432408,0.0501417992203402,0.0742596281911606,0.132319768599108,0.179162825082281,0.245945283342246,0.261650484555333,0.214594348200957,0.25903397970978,0.25903397970978
"PI_299165_AGL",0.274842512653543,0.356196814946946,0.436048122256618,0.700667494029086,0.845771754858696,1.14153235114671,1.16385975591276,1.05321676610479,1.15598159999509,1.15598159999509,0.0516134661932786,0.111700122555097,0.123246898253759,0.144466002782186,0.155210226774216,0.177193482716878,0.198435018459956,0.201590910553932,0.200063611070315,0.200602832883596,0.200602832883596,0.0311307381251424,0.0446360336937983,0.0638788813941877,0.110611037926297,0.152396852643405,0.227777609280688,0.235923449950848,0.2121055777855,0.23356421545134,0.23356421545134
