"Name","It17_Plot.Area.d094","It17_Plot.Area.d100","It17_Plot.Area.d118","It17_Plot.Area.d132","It17_Plot.Area.d164","It17_Plot.Height.d094","It17_Plot.Height.d100","It17_Plot.Height.d118","It17_Plot.Height.d132","It17_Plot.Height.d164","It17_Plot.Volume.d094","It17_Plot.Volume.d100","It17_Plot.Volume.d118","It17_Plot.Volume.d132","It17_Plot.Volume.d164"
"PI_299375_LSP_AGL",0.361046159643305,0.702504097556466,1.35965659090369,1.83475449350442,1.81640694856938,0.0933597559730212,0.134150452911854,0.161208043495814,0.335686892271042,0.332330023348331,0.0337994496164075,0.095455565899936,0.219753793854418,0.61528302648873,0.609130196223843
"PI_300250_LSP_AGL",0.031941768537501,0.0852184225628388,0.360641266920342,0.740799852957043,1.15486839386751,0.0683468393981457,0.0949407964944839,0.0714448317885399,0.183835988243421,0.203144281109174,0.00207615474715117,0.00845363868106262,0.0265087785437362,0.141433019513638,0.231040974840397
"PI_302398_LSP_AGL",0.187517662602214,0.21982522444956,0.627585787079046,1.20980665638422,1.19770858982038,0.0786595058937867,0.0975498333573341,0.12012754380703,0.26696456472079,0.264294919073582,0.0136989027456808,0.0201917203421566,0.0781518451570085,0.33129816396408,0.327985182324439
"PI_308614_LSP_AGL",0.106648752189865,0.184992332654471,0.680396901920595,1.19808933629786,1.18610844293488,0.0787488246957461,0.0943683336178462,0.0879856273531914,0.219261939326922,0.217069319933653,0.00854261222407585,0.0173648770964016,0.0594870907980354,0.262741310904976,0.260113897795926
"PI_311107_LSP_AGL",0.19356256711397,0.274454381946949,0.816245879707536,1.49306251060769,1.47813188550161,0.0857726112008095,0.111920930445194,0.130902883907159,0.313527315855026,0.310392042696476,0.0170516666308216,0.0305193426866881,0.107440508106834,0.465550333617995,0.460894830281815
"PI_312175_LSP_AGL",0.241737060484765,0.354864554036133,0.972267455703338,1.63916949644745,1.97706461267968,0.0777558150390784,0.0874707202116648,0.131222690145175,0.252423336108526,0.27106599966685,0.0204149372533378,0.0301865215650084,0.127942833644079,0.412113227608,0.546098397282011
"PI_320935_LSP_AGL",0.166568333428444,0.254915289241736,0.6805420830375,1.17197313465042,1.95396259109718,0.102399962643782,0.121794817348321,0.112643217047056,0.254435762763023,0.26239271124204,0.0166879110303824,0.0311625417873733,0.0749204679591541,0.305861275054204,0.513272030212287
"PI_320936_LSP_AGL",0.161883642604301,0.235280498445286,0.815306131444834,1.33670703457753,1.45243054041032,0.064038476596276,0.0749345719814301,0.085263525446256,0.233575443426768,0.246786903887987,0.0103336758252683,0.0171401103072914,0.0705881203148488,0.314691292269193,0.361115672470979
"PI_320937_LSP_AGL",0.154121171598959,0.150352618603998,0.545394116487417,0.978177002946705,1.05929666995381,0.062970490505298,0.0661245845258236,0.0982043941815694,0.197779749830564,0.260673240671555,0.00938095442414535,0.0109047115962722,0.0555358433212577,0.201183997245795,0.276966042198904
"PI_320941_LSP_AGL",0.145499699010477,0.18811795468924,0.732279578659789,1.22558188595702,1.21332606709745,0.105563584715128,0.12388901412487,0.106413718312979,0.254664070904255,0.252117430195212,0.0154978104393529,0.0239026417710934,0.0793774705118073,0.315607757230164,0.312451679657862
"PI_320945_LSP_AGL",0.168703478526112,0.28980769287198,0.851172881350295,1.51829341306187,1.50311047893125,0.0837498754262924,0.105567552149296,0.111939559380213,0.277063647905986,0.274293011426926,0.0136684315524524,0.0292033674256842,0.0967394575722895,0.422602485994315,0.418376461134372
"PI_320946_LSP_AGL",0.177415279096355,0.324203928588321,0.871461418295546,1.49635731612613,1.48139374296487,0.0977007026473681,0.119933182994525,0.136109496156375,0.311299671729406,0.308186675012112,0.0185299489882945,0.0425225166055591,0.123284362554855,0.472092762041178,0.467371834420766
