"Name","Su17_gc.a.at.DTF","Su17_gc.a.at.DTM","Su17_gc.a.perc.DTF","Su17_gc.a.xmax.DTF","Su17_gc.a.xmax.DTM","Su17_gc.a.xmid.DTF","Su17_gc.a.xmid.DTM","Su17_gc.h.at.DTF","Su17_gc.h.at.DTM","Su17_gc.h.perc.DTF","Su17_gc.h.xmax.DTF","Su17_gc.h.xmax.DTM","Su17_gc.h.xmid.DTF","Su17_gc.h.xmid.DTM","Su17_gc.v.at.DTF","Su17_gc.v.at.DTM","Su17_gc.v.perc.DTF","Su17_gc.v.xmax.DTF","Su17_gc.v.xmax.DTM","Su17_gc.v.xmid.DTF","Su17_gc.v.xmid.DTM"
"PI_297285_LSP_AGL",0.758544189731528,1.56718477707064,45.2106011239402,25,-10,1.607967755055,-35.1078137240982,0.160179770592181,0.255937935411243,57.0539401688256,28,-14,-2.7562778715708,-41.841986649837,0.100604090672902,0.393184153429903,23.1593845794725,21.6666666666667,-15,6.2534953560208,-30.7671597368256
"PI_297287_AGL",0.574640830234331,1.36852048516015,46.1483806909118,25,-13,1.16261633771187,-36.5809752869697,0.157123914124782,0.220623370157307,71.4626642280668,20.3333333333333,-21,-8.56871166070096,-47.8688145888315,0.0762258668988864,0.301097311461634,28.4642892886644,22.6666666666667,-16,5.24087404679537,-33.1819319546301
"PI_297754_LSP_AGL",0.40832909672031,1.39246191772044,32.0518528253052,29,-12,5.86168077184185,-35.6878075496011,0.131516692405652,0.20187568769257,57.1938710301285,24,-24,-1.70652849227865,-43.4141451775495,0.0357348566472305,0.259212637793931,13.563773776786,23.5,-22,9.24343411538215,-33.6958256570673
"PI_297767_AGL",1.02731333181679,NA,64.6538352933968,21,NA,-5.28235686343995,NA,0.181099279026894,NA,73.1695868774613,18,NA,-9.3306084842413,NA,0.181749629627193,NA,48.3956731452902,16.5,NA,0.2561056472878,NA
"PI_297772_LSP_AGL",0.397784421709613,0.903690388297736,34.8129157186369,29,-6,4.97382201001553,-29.7284055367758,0.127486408977171,0.154640477663474,77.1793919019114,13.3333333333333,-21.5,-9.49570753431983,-46.3380179569049,0.037684567471913,0.131896518443781,20.9712171738542,20.3333333333333,-14,6.210330312763,-28.5170852716038
"PI_297783_AGL",0.224035101961308,0.950239478201295,22.8486313059343,37.6666666666667,-1,10.9228973967156,-27.7437692699511,0.0897886610022638,0.169598168839549,52.4569087769353,23,-15.6666666666667,-0.860385375026032,-39.5270520416927,0.0124266039271178,0.161503134987357,7.62265434446439,32,-6.66666666666667,14.3894287680565,-24.2772378986102
"PI_297787_LSP_AGL",0.263392577835063,1.21363201152208,21.6335041253363,28.3333333333333,-11.3333333333333,8.53836175489213,-31.1283049117745,0.12867222984364,0.211422320668538,61.320632943873,22,-17.6666666666667,-3.77692653059394,-43.4435931972606,0.0216032359664772,0.25140190237084,8.73397330722648,24.3333333333333,-15.3333333333333,10.5934954584939,-29.0731712081728
"PI_298023_LSP_AGL",0.282618160433336,0.934646580187886,30.1101570065517,30.3333333333333,-10.5,6.62943095894513,-35.7907216623077,0.12411011297415,0.249990425468467,52.2910504111875,27.3333333333333,-15.5,-0.828725330369366,-42.5649879326831,0.0206329211797192,0.234922381154988,8.65795193988459,26.3333333333333,-15,11.4059851424084,-30.5691896799566
"PI_298121_LSP_AGL",0.506529374040878,1.43152695789809,36.4650580389862,25.5,-14,3.88970582824045,-37.6788726758528,0.137519462043064,0.260185051140935,50.759107582989,25.5,-19,-0.0850261917076018,-42.9366625212603,0.0442502740049519,0.369533020208557,12.1025172799713,22,-19,8.77806584198395,-33.0232193697443
"PI_298122_LSP_AGL",0.812174109095246,1.69793487157183,48.1029789256327,21.3333333333333,-16,0.546990901427399,-36.4354842074568,0.171171919937826,0.297640629419856,55.9474136753163,27,-11,-2.2427768327436,-38.4705019875606,0.11483613694211,0.489365800841288,23.252288333617,19.3333333333333,-18.5,5.62922575243627,-31.1811320429058
